stroke_index,time,type,backswing_end,peak_velocity_time,impact_time,ipd,ttpv,kinematic_efficiency_percent
1,0.1,backhand,0.0,0.1,0.1,0.1,0.1,99.95015783352716
2,1.452333777306301,forehand,0.975,1.45,1.452333777306301,0.477333777306301,0.475,98.79074517222534
3,2.9869502894256863,forehand,2.805,2.985,2.9869502894256863,0.18195028942568614,0.17999999999999972,97.45531663368581
4,4.645979820296851,forehand,4.23,4.645,4.645979820296851,0.415979820296851,0.41499999999999915,97.45425227020613
5,6.012051219633239,backhand,5.72,6.01,6.012051219633239,0.29205121963323943,0.29000000000000004,96.32216029744323
6,7.55019092944903,forehand,7.055,7.55,7.55019092944903,0.49519092944903065,0.4950000000000001,96.19971549282414
7,8.922101317374278,forehand,8.66,8.92,8.922101317374278,0.26210131737427744,0.2599999999999998,94.78696412173448
8,10.542095340992176,serve,10.045,10.54,10.542095340992176,0.49709534099217656,0.4949999999999992,94.34622258810256
9,12.097258067265956,serve,11.79,12.095,12.097258067265956,0.3072580672659573,0.3050000000000015,93.27986707118228
10,13.39899101767949,serve,13.075,13.395,13.39899101767949,0.3239910176794911,0.3200000000000003,92.17208872979963
11,15.247403994326696,backhand,14.91,15.245,15.247403994326696,0.33740399432669577,0.3349999999999991,91.74201342939469
12,16.36969937031344,forehand,16.13,16.365,16.36969937031344,0.23969937031344202,0.23499999999999943,90.04042005255462
13,18.01237689101036,forehand,17.515,18.01,18.01237689101036,0.497376891010358,0.495000000000001,90.58725922104497
14,19.42811448066774,serve,19.16,19.425,19.42811448066774,0.2681144806677409,0.26500000000000057,89.2674679579626
15,21.233817465686315,forehand,20.92,21.23,21.233817465686315,0.31381746568631286,0.3099999999999987,88.32888761607047
16,22.41665589141337,backhand,22.04,22.415,22.41665589141337,0.3766558914133711,0.375,88.43654288763665
17,24.046974352262744,serve,23.765,24.045,24.046974352262744,0.28197435226274337,0.28000000000000114,87.3981997493978
18,25.43928920134026,backhand,25.015,25.435,25.43928920134026,0.42428920134025816,0.41999999999999815,86.43777140071174
19,27.136082743789075,serve,26.855,27.135,27.136082743789075,0.2810827437890744,0.28000000000000114,86.14168356157481
20,28.60755631104444,backhand,28.355,28.605,28.60755631104444,0.2525563110444402,0.25,84.87352167627255
